2025-01-30 11:16:36,082 - INFO - Starting Telegram Scraper
2025-01-30 11:16:36,087 - INFO - Connecting to 149.154.167.51:443/TcpFull...
2025-01-30 11:16:40,105 - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2025-01-30 11:16:51,709 - INFO - Phone migrated to 4
2025-01-30 11:16:51,834 - INFO - Reconnecting to new data center 4
2025-01-30 11:16:51,976 - INFO - Disconnecting from 149.154.167.51:443/TcpFull...
2025-01-30 11:16:51,977 - INFO - Disconnection from 149.154.167.51:443/TcpFull complete!
2025-01-30 11:16:51,978 - INFO - Connecting to 149.154.167.91:443/TcpFull...
2025-01-30 11:16:53,584 - INFO - Connection to 149.154.167.91:443/TcpFull complete!
2025-01-30 11:25:22,318 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:25:23,528 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:25:24,819 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:25:25,330 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:25:27,059 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:25:28,614 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:25:29,289 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:25:30,117 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:25:30,851 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:25:32,118 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:25:33,037 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:25:33,652 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:25:34,454 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:25:35,574 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:25:36,781 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:25:37,616 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:25:38,435 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:25:39,212 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:25:40,224 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:25:41,111 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:25:42,001 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
